GeoName,LineCode,Description,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3
United States *,1,All industry total,12761337,12910022,13142873,13332316,13603933,13749806,13867469,14037228,14208569,14382363,14535003,14681501,14651039,14805611,14835187,14559543,14394547,14352850,14420312,14628021,14721350,14926098,15079917,15240843,15285828,15496189,15591850,15796460,16019758,16152257,16257151,16358863,16569591,16637926,16848748,17083137,17104555,17432909,17721657,17849912,18003399,18223577,18347425,18378803,18470156,18656207,18821359,19032580,19237435,19379232,19617288,19937963,20242215,20552653,20742723,20909853,21115309,21329877,21540325,21747394,21561139,19520114,21170252
United States *,2,  Private industries,11077821,11209861,11423916,11593875,11845005,11971058,12064197,12210187,12354121,12508492,12636755,12759813,12702863,12837044,12841282,12543767,12374702,12312699,12368508,12559608,12634533,12815284,12966135,13120398,13156505,13355664,13449405,13660514,13871069,14001217,14096121,14181665,14375168,14430451,14633690,14850060,14857127,15172202,15443019,15551208,15685440,15889157,15999270,16021567,16104559,16279050,16428938,16628169,16816766,16943758,17160152,17456301,17733131,18016210,18176429,18322961,18508889,18703833,18887214,19075070,18878959,16925474,18516614
United States *,83,  Government and government enterprises,1683519,1700161,1718958,1738442,1758930,1778749,1803273,1827041,1854450,1873873,1898249,1921687,1948177,1968570,1993905,2015776,2019848,2040150,2051803,2068412,2086819,2110815,2113781,2120443,2129323,2140526,2142447,2135947,2148689,2151041,2161028,2177200,2194425,2207474,2215057,2233077,2247429,2260708,2278639,2298704,2317958,2334419,2348157,2357235,2365597,2377156,2392420,2404411,2420669,2435474,2457135,2481657,2509084,2536443,2566291,2586892,2606420,2626044,2653111,2672324,2682180,2594639,2653638
Alabama,1,All industry total,153077.8,155409.9,156809.7,160315.8,161732.8,163926.5,165313.1,166419,167130.4,169652.4,171802.3,172470.3,172088.8,173859.5,174178.6,170582.1,168718.5,168375.9,169075.5,170344.1,171057.9,174016.2,178045.5,178760.9,178594.7,180756.7,182995.5,185372.6,185946.1,187360.7,186205.4,186703.3,191361.7,191087,193398.3,192819.1,190838.2,194511.1,196927.7,197873.7,197620.9,200190.9,201704,201274.1,201819.8,204301.2,204782.5,206915.3,208788.9,209318.9,210957.6,214517.5,217867.9,220377.9,221504.3,224372.7,225565.2,226927,229328.2,230750.1,229831.4,209852.3,228062.3
Alabama,2,  Private industries,128251,130351.6,131601.5,134687.2,136104.4,137600.3,139202.5,139222.9,139273.4,141384.6,143236.1,143381,143119.3,144586,144526.9,140540.1,138301,137303.2,137791.2,139278.7,139703.4,142490.4,146449.3,147425,146865.7,148785.7,150830.8,153205,153809.7,155507.2,154500.5,154587.6,159406.9,159022.6,161111.6,160378.4,158291.6,161696.9,163640.1,164313.5,164129.1,166390,167512.9,167175,167684.3,170008.2,170141.1,171782,173503.3,173807.9,175725,178594.3,181627.7,183873.5,184956.1,187273.4,188132.8,189010.4,190705.2,191919,190754.5,171848.6,189127.7
Alabama,83,  Government and government enterprises,24826.8,25058.3,25208.2,25628.6,25628.3,26326.2,26110.6,27196,27857,28267.8,28566.2,29089.3,28969.5,29273.5,29651.7,30042,30417.5,31072.7,31284.3,31065.4,31354.6,31525.8,31596.2,31335.9,31729,31971,32164.8,32167.6,32136.5,31853.5,31704.8,32115.7,31954.8,32064.4,32286.8,32440.7,32546.6,32814.2,33287.6,33560.2,33491.8,33800.9,34191.1,34099.1,34135.5,34293,34641.3,35133.3,35285.6,35511,35232.6,35923.2,36240.2,36504.4,36548.2,37099.3,37432.4,37916.6,38623,38831,39076.9,38003.7,38934.6
Alaska,1,All industry total,37393.9,38641.2,40259.9,42859.7,42664.7,44378.4,45039.4,45745.9,46468.8,48781.9,49648.2,51111.8,52447.8,55938.1,57386.3,53263.8,50559,49263.8,48626.8,50156.9,51607.4,52558.1,53506.4,54119.1,53936.8,56481.1,56527.7,58390.1,57909.3,58077.9,57734.9,57148.1,57277.7,56002.2,57194.9,56026.2,56172.5,56614,55991.2,54224.6,51408.5,51420.2,50413.2,49670.5,49040.8,49678.6,49823.1,50479.7,51335.8,51284.3,51831.4,52496.4,53536.9,54207.3,54662.3,54765.1,54137.6,54279.9,54449.9,54674.7,52864.4,45644.4,50412.9
Alaska,2,  Private industries,29941,31142.2,32756,35122,34939.9,36513.4,37073.9,37642.1,38322,40521.1,41375,42864.6,44061.6,47420.6,48757.2,44565.2,41610.9,40268.2,39518.6,41021.4,42358.7,43240.5,44141.1,44746.4,44366.4,46707.7,46646.9,48274.3,47736.3,47858.9,47363.5,46935,47204.2,46030.9,47047.4,45864.2,45861.8,46263.1,45645.4,43873.8,41105.3,41105.7,39998.1,39269.6,38456.4,39041.3,39293.6,39805.8,40693.9,40536,41029.9,41441.5,42372.3,42883.6,43201,43299.5,42544.2,42669.6,42835.1,43140.4,41332.4,34624.6,38780.5
Alaska,83,  Government and government enterprises,7452.9,7499,7503.9,7737.7,7724.9,7865,7965.5,8103.8,8146.8,8260.7,8273.1,8247.2,8386.2,8517.5,8629,8698.6,8948,8995.6,9108.2,9135.5,9248.6,9317.6,9365.3,9372.7,9570.4,9773.4,9880.9,10115.8,10173,10219,10371.4,10213.1,10073.5,9971.3,10147.5,10162,10310.7,10350.9,10345.8,10350.7,10303.2,10314.4,10415.1,10400.9,10584.4,10637.3,10529.4,10673.9,10641.9,10748.4,10801.5,11054.9,11164.6,11323.6,11461.3,11465.6,11593.4,11610.3,11614.9,11534.3,11532,11019.8,11632.3
Arizona,1,All industry total,219879.5,225374.3,232290.1,235386.5,242418.5,244980.6,250030.6,255187.1,257836.6,261285.7,265218.6,264640.1,262560.9,261723,259804.9,252961.6,246427.3,242454.2,240994.8,245182.1,243054.1,246779.2,249707.1,252960.7,253318,255908.6,258451.6,263846.4,265948.7,268280.3,268119.4,269924.2,272162,273209.5,275807.4,278851.2,280049.2,283146.8,287223.2,288986.3,293993.6,298042.6,299084.9,303338.7,305213.3,311371,316396.5,319245.2,324419.9,326751.9,332866,336548.6,344512.8,348608,352675.5,357076.8,361379.7,366904.9,373173,379018.8,377475.9,350140.9,378296.5
